pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
1620,211,70,70010,121860,58850,NA,T,3462,129,2,2,2,12,6,1,3,2,5,2,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,2414,2,2,2,NA,NA,NA,CHICAGO,0-0,3190,0.02445141065830721,0.9438871473354232,0.00595611285266457,0.02225705329153605,0.00689655172413793,14000,Chicago,0,0,1,0,0,0,FULLER,PHILLIPS HS,6.89,19015,FALSE,FALSE,TRUE
1621,211,72,72150,89320,30240,NA,W,3780,96,2,2,1,10,5,1,3,1,5,2,0,2,2,0,2,2,2,2,7,NA,NA,NA,0,2502,2,2,2,3,NA,1,CHICAGO,60629,4694,0.01981252662974009,0.7895185342991052,0.00532594801874733,0.12207072858968895,0.12654452492543672,14000,Chicago,0,0,1,0,0,0,MCKAY,GAGE PARK HS,6.934,28817,FALSE,FALSE,TRUE
1622,203,76,76030,186600,143000,NA,T,3250,36,NA,2,1,5,3,1,1,1,5,1,0,3,2,0,2,2,2,2,3,1,2,2,0,1170,2,1,1,NA,NA,NA,CHICAGO,60616,4413,0.20938137321549968,0.01495581237253569,0.6236120552911851,0.1497847269431226,0.00453206435531384,14000,Chicago,0,0,1,0,0,0,HEALY,TILDEN HS,6.89,34127,FALSE,TRUE,TRUE
1623,205,10,10012,319790,57170,NA,W,10890,114,NA,1,1,8,3,3,3,2,5,2,0,1,2,0,NA,NA,2,2,3,1,1,2,0,1372,2,1,2,3,NA,NA,BARRINGTON,60010,8784,0.6693989071038251,0.01434426229508196,0.2575136612021858,0.03483606557377049,0.02959927140255009,03844,Barrington,0,0,1,0,0,0,COMMUNITY UNIT SCHOOL DISTRICT 220,COMMUNITY UNIT SCHOOL DISTRICT 220,7.216,148670,FALSE,TRUE,TRUE
1624,295,28,28036,122660,26940,NA,T,4899,32,NA,3,1,5,2,2,3,1,5,1,0,3,1,1,2,2,2,2,3,2,1,2,0,1346,2,1,2,NA,NA,NA,ORLAND PARK,60462,3951,0.7749936724879777,0.07263983801569222,0.0331561629967097,0.08605416350291066,0.05770690964312832,56640,Orland Park,0,0,1,0,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,69342,FALSE,TRUE,TRUE
1625,278,25,25430,249400,120240,NA,W,10020,20,NA,1,1,7,3,1,3,1,5,1,1,3,2,1,2,1,2,2,7,NA,NA,NA,0,2397,2,1,2,NA,NA,NA,GLENVIEW,60025,4128,0.47141472868217055,0.09835271317829455,0.2126937984496124,0.1996124031007752,0.03585271317829457,29938,Glenview,0,0,1,0,0,0,SCHOOL DISTRICT C C 34,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.226,50293,FALSE,FALSE,TRUE
1626,234,37,37150,114020,60280,NA,W,12691,52,NA,3,1,7,4,3,1,1,5,1,1,3,2,2,2,NA,2,2,3,2,1,2,0,1834,2,1,4,NA,NA,NA,SOUTH HOLLAND,60473,2838,0.14799154334038056,0.8146582100070472,0,0.03171247357293869,0.01127554615926709,70850,South Holland,0,0,1,0,0,0,SCHOOL DISTRICT  150,THORNTON TOWNSHIP HIGH SCHOOL  205,18.723,63750,FALSE,TRUE,TRUE
1627,203,36,36012,147210,64170,NA,W,8280,71,NA,2,1,6,3,1,3,1,5,1,0,1,1,0,2,2,2,2,3,1,2,2,0,1488,2,1,5,1,NA,1,STICKNEY,60402,6732,0.39230540701128935,0.00490196078431372,0.02094474153297683,0.5439691027926322,0.07575757575757576,72676,Stickney,0,0,9,0,0,0,SCHOOL DISTRICT  103,BERWYN CICERO STICKNEY HIGH SCHOOL 201,14.685,59467,FALSE,TRUE,TRUE
1628,203,37,37150,111980,34200,NA,W,7200,52,NA,2,1,5,3,1,3,1,5,1,0,3,2,0,NA,NA,2,2,3,2,2,2,0,1743,2,1,1,NA,NA,NA,SOUTH HOLLAND,60473,2838,0.14799154334038056,0.8146582100070472,0,0.03171247357293869,0.01127554615926709,70850,South Holland,0,0,1,0,0,0,SCHOOL DISTRICT  150,THORNTON TOWNSHIP HIGH SCHOOL  205,18.723,63750,FALSE,TRUE,TRUE
1629,207,29,29033,234760,46700,NA,W,7472,43,NA,1,1,6,3,3,3,1,5,1,1,3,2,1,2,2,2,2,3,1,1,2,0,1770,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60192,4955,0.6302724520686176,0.02119071644803229,0.2343087790110999,0.06881937436932392,0.09081735620585268,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.023,116563,FALSE,TRUE,TRUE
1630,295,76,76011,482870,100620,NA,W,875,18,NA,2,2,6,3,2,3,1,5,1,1,3,2,0,2,2,2,2,3,2,1,1,0,2264,2,1,3,NA,NA,NA,CHICAGO,60616,19889,0.4886620745135502,0.2271104630700387,0.20684800643571824,0.04510030670219719,0.06123988134144502,14000,Chicago,0,0,1,0,0,0,NATIONAL TEACHERS,PHILLIPS HS,6.89,102303,FALSE,TRUE,TRUE
1631,202,37,37181,67370,26880,NA,W,7170,97,NA,1,1,4,2,1,3,1,5,2,0,2,1,0,2,2,2,2,3,1,2,2,0,816,2,1,1,3,NA,1,LANSING,60438,4816,0.5371677740863787,0.29485049833887045,0.01474252491694352,0.1532392026578073,0,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,54940,FALSE,TRUE,TRUE
1632,211,77,77030,263680,94090,NA,W,3690,112,2,2,1,10,6,1,3,1,5,2,0,3,2,0,2,2,2,2,1,1,2,2,0,2224,2,2,2,NA,NA,NA,CHICAGO,60622,1669,0.3313361294188137,0.2444577591372079,0.02995805871779508,0.3822648292390653,0.02396644697423607,14000,Chicago,0,0,1,0,0,0,CHOPIN,CLEMENTE HS,6.89,48333,FALSE,TRUE,TRUE
1633,203,28,28050,147460,37260,NA,W,8768,48,NA,3,1,5,3,2,3,1,5,1,0,1,1,0,2,NA,2,2,1,1,1,2,0,1085,2,1,1,3,NA,NA,TINLEY PARK,60477,7741,0.817336261464927,0.02092752874305645,0.01278904534297894,0.13783748869655085,0.02221935150497351,75484,Tinley Park,0,0,1,0,0,0,SCHOOL DISTRICT  140,CONSOLIDATED HIGH SCHOOL  230,11.122,66981,FALSE,TRUE,TRUE
1634,203,34,34010,177010,59060,NA,W,6750,68,NA,3,1,7,3,3,1,1,5,1,0,1,1,0,2,NA,2,2,4,1,2,2,0,1401,2,1,5,1,NA,NA,NORTH RIVERSIDE,60546,5025,0.6153233830845771,0.0308457711442786,0.00656716417910447,0.3227860696517413,0.04895522388059702,54144,North Riverside,0,0,1,0,0,0,SCHOOL DISTRICT 94,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,8.677,63383,FALSE,TRUE,TRUE
1635,278,21,21013,890350,51110,NA,T,7050,7,NA,1,1,8,4,1,1,1,5,1,1,2,2,1,2,2,2,2,3,1,2,2,0,3495,2,1,2,1,NA,NA,WESTERN SPRINGS,60558,3362,0.9637120761451516,0,0.00951814396192742,0.02676977989292088,0,80242,Western Springs,0,0,1,0,0,0,SCHOOL DISTRICT  101,LYONS TOWNSHIP HIGH SCHOOL  204,7.9,179338,FALSE,TRUE,TRUE
1636,207,38,38023,195050,36050,NA,W,6270,58,NA,1,1,6,4,3,3,1,5,2,1,3,2,0,2,NA,2,2,1,1,1,2,0,1550,2,1,2,NA,NA,NA,WHEELING,60090,2622,0.3764302059496568,0.0156369183829138,0.11441647597254004,0.4786422578184592,0.02974828375286041,81087,Wheeling,0,1,9,0,0,0,SCH DIST 21 WHEELING COMM CONSOLIDATED,ARLINGTON HTS TWNSHP H S 214,11.237,83333,FALSE,TRUE,TRUE
1637,211,72,72171,30080,23430,NA,W,3125,122,3,1,1,5,3,1,2,1,5,2,0,1,3,0,2,2,2,2,7,NA,NA,NA,0,1752,2,2,5,2,NA,1,CHICAGO,60621,2910,0.00343642611683848,0.9240549828178696,3.436426116838488e-4,0.06735395189003436,0.00893470790378006,14000,Chicago,0,0,6,1,0,0,BASS,ROBESON HS,6.873317191283292,21266,FALSE,FALSE,TRUE
1638,206,23,23021,641160,246580,NA,T,11742,99,NA,4,1,12,6,3,3,2,5,1,1,3,2,0,2,NA,2,2,2,1,2,2,0,3462,2,1,2,NA,NA,NA,GLENCOE,60022,2498,0.9191353082465972,0,0.04723779023218575,0.02001601281024819,0.02722177742193755,29652,Glencoe,0,0,1,0,0,0,SCH DISTRICT 35,NEW TRIER TOWNSHIP HIGH SCHOOL  203,8.481,250001,FALSE,TRUE,TRUE
1639,212,71,71150,338470,76870,NA,W,6150,95,4,2,2,5,2,3,3,2,5,2,0,1,4,2,2,2,2,2,7,NA,NA,NA,75,6095,2,2,2,3,NA,NA,CHICAGO,60634,4246,0.4573716439001413,0.02001884126236457,0.08313707018370231,0.4225153085256712,0.02119642016015073,14000,Chicago,0,0,1,0,0,1,"GRAY, W",SCHURZ HS,6.89,67500,FALSE,FALSE,TRUE
1640,202,34,34010,158760,40460,NA,T,4625,69,NA,2,1,5,2,1,1,1,5,2,0,2,1,0,NA,NA,2,2,3,1,2,2,0,881,2,1,1,3,NA,NA,NORTH RIVERSIDE,60546,5025,0.6153233830845771,0.0308457711442786,0.00656716417910447,0.3227860696517413,0.04895522388059702,54144,North Riverside,0,0,1,0,0,0,SCHOOL DISTRICT 96,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,10.428,63383,FALSE,TRUE,TRUE
1641,205,71,71371,282960,46870,NA,W,3750,95,NA,3,1,8,5,1,1,1,5,1,0,3,3,0,2,2,2,2,3,2,2,2,0,1677,2,1,2,NA,NA,NA,CHICAGO,60634,4189,0.6299832895679159,0.0083552160420148,0.04153735975173072,0.3160658868465027,0.00811649558367152,14000,Chicago,0,0,1,0,0,0,DEVER,STEINMETZ COLLEGE PREP HS,6.894,67571,FALSE,TRUE,TRUE
1642,205,71,71371,182930,68200,NA,T,5456,74,NA,3,1,6,3,1,3,1,2,1,0,3,1,1,2,1,2,2,3,3,1,2,0,1329,2,1,2,NA,NA,NA,CHICAGO,60634,5593,0.6851421419631682,0,0.06847845521187199,0.23583050241373144,0.02109780082245664,14000,Chicago,0,0,1,0,0,0,CANTY,STEINMETZ COLLEGE PREP HS,6.894,84569,FALSE,TRUE,TRUE
1643,211,77,77103,151270,63520,NA,W,3025,134,2,1,1,12,4,2,3,1,5,2,0,3,2,0,2,2,2,2,3,1,2,2,0,2648,2,2,2,NA,NA,NA,CHICAGO,60612,2460,0.06707317073170732,0.906910569105691,0.00284552845528455,0.00853658536585366,0.02926829268292683,14000,Chicago,0,0,1,0,0,0,CATHER,MARSHALL HS,6.913,40417,FALSE,TRUE,TRUE
1644,203,77,77101,56260,45890,NA,W,3906,117,NA,2,6,6,3,1,3,1,5,2,0,1,1,0,2,NA,2,2,1,1,2,2,0,1446,3,1,5,1,NA,1,CHICAGO,60624,5772,0.02668052668052668,0.8172210672210672,0,0.15107415107415106,0.00502425502425502,14000,Chicago,0,0,1,0,0,0,"WARD, L",ORR HS,6.89,31888,FALSE,TRUE,TRUE
1645,234,12,12022,112070,42480,NA,W,10620,61,NA,2,1,6,3,3,1,1,5,1,1,2,1,1,NA,NA,2,2,3,2,2,2,0,1538,2,1,4,3,NA,NA,HOMEWOOD,60430,4663,0.3645721638430195,0.5294874544284796,0.007720351704911,0.04439202230323826,0.09736221316748872,35879,Homewood,0,0,1,0,0,0,SCHOOL DISTRICT 153,HOMEWOOD FLOSSMOOR COMM HIGH SCHOOL  233,16.657,92630,FALSE,TRUE,TRUE
1646,202,31,31104,170460,37500,NA,W,6250,66,NA,2,1,4,2,1,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,962,2,1,1,NA,NA,NA,WESTCHESTER,60154,3151,0.5541098064106633,0.170739447794351,0.0266582037448429,0.17454776261504285,0.08886067914947636,80047,Westchester,0,0,1,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,63243,FALSE,TRUE,TRUE
1647,205,32,32120,63180,24570,NA,O,7560,67,NA,3,1,7,2,2,3,1,5,1,0,3,1,0,2,NA,2,2,5,1,2,2,0,1392,2,1,2,NA,NA,NA,PARK FOREST,60466,4957,0.28706879160782733,0.5844260641517046,0,0.0841234617712326,0.08533387129312084,57732,Park Forest,0,0,1,0,0,0,SCHOOL DISTRICT 163,RICH TOWNSHIP HIGH SCHOOL  227,37.326,55570,FALSE,TRUE,TRUE
1648,211,73,73070,363120,161200,NA,T,3100,111,2,1,6,9,4,1,3,2,5,2,0,2,2,0,1,2,2,2,1,1,1,1,0,1765,2,2,5,2,NA,1,CHICAGO,60657,1610,0.924223602484472,0.00248447204968944,0.02298136645962733,0.03167701863354037,0.03416149068322981,14000,Chicago,0,0,1,0,0,0,AUDUBON,LAKE VIEW HS,6.89,124500,FALSE,TRUE,TRUE
1649,234,39,39010,174330,52250,NA,T,10450,35,NA,3,1,6,3,3,1,1,5,1,1,3,1,1,2,NA,2,2,4,1,2,2,0,1417,2,1,4,NA,NA,NA,OAK LAWN,60453,6372,0.75,0.03782172002510985,0.01365348399246704,0.1911487758945386,0.00737602008788449,54820,Oak Lawn,0,0,6,1,0,0,SCHOOL DISTRICT  122,COMMUNITY HIGH SCHOOL  229,11.134,41902,FALSE,TRUE,TRUE
1650,205,72,72282,64760,35150,NA,W,4687,76,NA,1,1,6,2,1,1,1,5,2,0,3,1,1,NA,NA,2,2,3,2,2,2,0,1087,2,1,2,NA,NA,NA,CHICAGO,60643,4067,0.01549053356282272,0.9488566510941726,0,0.01352348168182935,0.04425866732235063,14000,Chicago,0,0,1,0,0,1,WACKER,HARLAN HS,6.908,73077,FALSE,TRUE,TRUE
1651,202,70,70070,71180,45820,NA,W,4166,58,NA,2,1,5,3,4,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,890,2,1,1,NA,NA,NA,CHICAGO,60619,1939,0.01186178442496132,0.966477565755544,0,0.02166064981949458,0,14000,Chicago,0,0,1,0,0,0,TANNER,HIRSCH HS,6.88386464826358,17292,FALSE,TRUE,TRUE
1652,203,70,70220,71800,34160,NA,O,4270,59,NA,1,1,5,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1095,2,1,1,NA,NA,NA,CHICAGO,0-0,3689,2.710761724044456e-4,0.97804283003524,0,0.01951748441312009,0.00433721875847113,14000,Chicago,0,0,1,0,0,0,CULLEN,CORLISS HS,6.908,38693,FALSE,TRUE,TRUE
1653,278,38,38056,343380,70120,NA,W,11220,57,NA,3,1,8,4,3,1,1,5,1,1,3,2,1,2,2,2,2,3,3,1,1,0,2383,2,1,2,NA,NA,NA,ARLINGTON HEIGHTS,60005,5739,0.960446070744032,0.00958355114131381,0.02247778358599059,0.00278794215020038,0.00940930475692629,02154,Arlington Heights,0,0,1,0,0,0,SCHOOL DISTRICT 25,ARLINGTON HTS TWNSHP H S 214,9.004,105114,FALSE,TRUE,TRUE
1654,295,29,29033,202150,21250,NA,W,3401,33,NA,1,1,6,3,1,3,1,5,1,1,3,2,0,2,NA,2,2,3,1,1,1,0,1600,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60192,4955,0.6302724520686176,0.02119071644803229,0.2343087790110999,0.06881937436932392,0.09081735620585268,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.023,116563,FALSE,TRUE,TRUE
1655,203,37,37181,52910,41040,NA,W,10945,93,NA,1,1,6,3,1,3,1,5,2,0,1,1,0,NA,NA,2,2,3,1,2,2,0,1036,2,1,1,3,NA,NA,LANSING,60438,4549,0.38162233457902833,0.4829632886348648,0.02857770938667839,0.09474609804352604,0.02418113871180479,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,59935,FALSE,TRUE,TRUE
1656,278,22,22150,405450,89250,NA,W,8500,63,NA,3,1,10,4,1,3,1,5,1,1,3,3,0,2,2,2,2,3,2,2,2,0,3145,2,1,2,NA,NA,NA,PARK RIDGE,60068,4457,0.912272829257348,0.00785281579537805,0.05317478124298856,0.02468027821404532,0.00403859098048014,57875,Park Ridge,0,0,1,0,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,8.938,134167,FALSE,TRUE,FALSE
1657,203,37,37181,74970,23430,NA,W,6250,71,NA,3,1,7,4,1,3,1,5,1,0,1,1,1,2,2,2,2,1,1,2,2,0,1452,2,1,5,1,NA,NA,LANSING,60438,5150,0.44427184466019415,0.3530097087378641,5.825242718446602e-4,0.1716504854368932,0.05844660194174757,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,43429,FALSE,TRUE,TRUE
1658,205,77,77013,130030,40160,NA,W,4725,132,NA,1,1,8,6,1,3,1,5,2,0,2,2,1,NA,NA,2,2,3,1,1,2,0,1608,2,1,2,3,NA,NA,CHICAGO,60644,4466,0.02575011195700851,0.9193909538737124,0,0.05239587998208687,0.00492610837438423,14000,Chicago,0,0,1,0,0,0,ELLINGTON,AUSTIN CCA HS,6.89,21281,FALSE,TRUE,TRUE
1659,234,34,34010,195040,32810,NA,W,3750,46,NA,2,1,7,3,3,1,1,5,2,0,3,1,1,NA,NA,2,2,3,1,2,2,0,1113,2,1,4,NA,NA,NA,NORTH RIVERSIDE,60546,5025,0.6153233830845771,0.0308457711442786,0.00656716417910447,0.3227860696517413,0.04895522388059702,54144,North Riverside,0,0,1,0,0,0,SCHOOL DISTRICT 96,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,10.428,63383,FALSE,TRUE,TRUE
1660,204,72,72380,202240,62500,NA,W,6250,72,NA,2,1,8,3,1,3,1,5,2,0,1,2,0,2,NA,2,2,3,2,2,2,0,1826,2,1,5,1,NA,NA,CHICAGO,60638,5886,0.4712878015630309,0.02446483180428134,0,0.49864084267753994,0.01121304791029561,14000,Chicago,0,0,1,0,0,0,BYRNE,KENNEDY HS,6.934,70102,FALSE,TRUE,TRUE
1661,208,17,17120,1197290,115800,NA,W,7720,20,NA,1,1,8,4,1,3,1,5,1,1,1,4,1,2,2,2,2,3,1,2,2,757,4099,2,1,2,3,NA,NA,EVANSTON,60201,3732,0.8279742765273312,0.02920685959271168,0.08440514469453377,0.03938906752411576,0.03804930332261522,24582,Evanston,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,134583,TRUE,TRUE,TRUE
1662,234,21,21071,312210,76490,NA,W,9870,55,NA,3,1,6,3,3,1,1,5,1,1,3,2,0,2,2,2,2,3,2,1,2,0,1448,2,1,4,NA,NA,NA,WESTERN SPRINGS,60558,7043,0.8795967627431492,0.01050688627005537,0.06119551327559278,0.03507028255004969,0.02456339627999432,80242,Western Springs,0,0,1,0,0,0,SCHOOL DISTRICT  106,LYONS TOWNSHIP HIGH SCHOOL  204,8.167,100339,FALSE,TRUE,TRUE
1663,295,74,74013,527140,106200,NA,W,885,15,NA,2,2,7,3,2,3,1,5,1,1,3,2,1,2,2,2,2,3,2,1,1,0,1692,2,1,3,NA,NA,NA,CHICAGO,60610,3154,0.6816740646797718,0.12016487000634116,0.06309448319594166,0.11667723525681674,0.03677869372225745,14000,Chicago,0,0,6,0,0,0,JENNER,LINCOLN PARK HS,6.89,99440,FALSE,TRUE,TRUE
1664,295,74,74012,254060,121990,NA,W,1109,48,NA,2,2,4,2,4,3,1,5,1,0,3,1,0,2,2,2,2,7,NA,NA,NA,0,987,2,1,2,NA,NA,NA,CHICAGO,60614,3982,0.8242089402310396,0.01255650426921145,0.10999497739829232,0.04445002511300854,0.01757910597689603,14000,Chicago,0,0,1,0,0,0,LINCOLN,LINCOLN PARK HS,6.89,112788,FALSE,FALSE,TRUE
1665,203,37,37181,76460,25500,NA,O,6800,55,NA,1,1,5,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,2,1,2,2,0,1010,2,1,1,NA,NA,NA,LANSING,60438,4816,0.5371677740863787,0.29485049833887045,0.01474252491694352,0.1532392026578073,0,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,54940,FALSE,TRUE,TRUE
1666,203,77,77030,404140,80320,NA,W,3150,125,NA,2,1,6,3,1,1,1,5,2,0,1,1,1,2,2,2,2,3,1,2,2,0,1639,2,1,5,1,NA,NA,CHICAGO,60647,3038,0.5888742593811718,0.03587886767610269,0.054312047399605,0.2926267281105991,0.05661619486504279,14000,Chicago,0,0,1,0,0,0,MOOS,CLEMENTE HS,6.89,103750,FALSE,TRUE,TRUE
1667,206,73,73044,800870,181250,AV,W,3125,97,NA,2,2,10,4,3,1,2,5,1,2,3,3,1,2,2,2,2,3,2,2,2,0,2712,2,1,2,NA,NA,NA,CHICAGO,60613,2852,0.7727910238429172,0.04593267882187938,0.03190743338008415,0.10659186535764376,0.08555399719495091,14000,Chicago,0,0,1,0,0,0,RAVENSWOOD,LAKE VIEW HS,6.89,92593,FALSE,TRUE,TRUE
1668,203,70,70080,125320,34020,NA,W,3780,98,NA,2,1,9,5,1,3,1,5,2,0,1,1,2,2,2,2,2,7,NA,NA,NA,0,1766,2,1,5,1,NA,1,CHICAGO,60619,6004,0.00766155896069287,0.959526982011992,0.01332445036642238,0.00916055962691539,0.01782145236508994,14000,Chicago,0,0,1,0,0,0,AVALON PARK,HIRSCH HS,6.88386464826358,42766,FALSE,FALSE,TRUE
1669,202,72,72120,42260,23980,NA,W,3690,112,NA,2,1,5,2,1,3,1,5,2,0,1,2,0,2,2,2,2,7,NA,NA,NA,0,883,2,1,1,3,NA,NA,CHICAGO,60636,2343,0.01109688433632095,0.7562953478446436,0,0.18651301749893295,0.09218950064020488,14000,Chicago,0,0,3,1,0,0,O'TOOLE,HARPER HS,6.873317191283292,26822,FALSE,FALSE,TRUE
1670,204,25,25200,420540,111810,NA,O,10909,72,NA,2,1,8,4,4,3,1,5,1,1,3,2,1,2,NA,2,2,3,2,1,2,0,2010,2,1,1,NA,NA,NA,GLENVIEW,60025,3481,0.8692904337833955,0.02786555587474863,0.06980752657282391,0.01005458201666188,0.04136742315426602,29938,Glenview,0,0,1,0,0,0,SCHOOL DISTRICT C C 34,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.326,150862,FALSE,TRUE,TRUE
1671,202,72,72345,38370,20290,NA,W,3690,71,NA,2,1,4,2,1,3,1,5,2,0,1,1,0,NA,NA,2,2,7,NA,NA,NA,0,840,2,1,1,3,NA,NA,CHICAGO,60628,5973,0.00150678051230537,0.9675205089569732,0,0.00719906244768123,0.04754729616608069,14000,Chicago,0,0,1,0,0,0,"BROWN, R",FENGER HS,6.908,39231,FALSE,FALSE,TRUE
1672,203,70,70111,63600,45120,NA,T,5640,64,NA,2,1,5,3,4,3,1,5,2,0,2,1,0,NA,NA,2,2,7,NA,NA,NA,0,1188,2,1,1,3,NA,NA,CHICAGO,60619,2547,7.852375343541421e-4,0.9874361994503336,0,0,0.01884570082449941,14000,Chicago,0,0,1,0,0,0,GILLESPIE,HARLAN HS,6.88386464826358,30714,FALSE,FALSE,TRUE
1673,203,39,39211,120670,39810,NA,W,7963,59,NA,3,1,6,3,4,3,1,5,2,0,3,1,1,NA,NA,2,2,3,1,2,2,0,1176,2,1,1,NA,NA,NA,CRESTWOOD,60418,6296,0.9027954256670904,0.02636594663278272,0.02445997458703939,0.04606099110546378,3.176620076238882e-4,17497,Crestwood,0,0,1,0,0,0,SCHOOL DISTRICT 130,COMMUNITY HIGH SCHOOL  218,11.639,63017,FALSE,TRUE,TRUE
1674,203,31,31104,193500,36000,NA,W,6000,63,NA,2,1,6,3,1,1,1,5,1,0,3,1,1,NA,NA,2,2,3,1,2,2,0,1385,2,1,1,NA,NA,NA,WESTCHESTER,60154,5569,0.664571736397917,0.07739270964266474,0.059974860836775,0.192853295026037,0.01041479619321242,80047,Westchester,0,0,1,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,85958,FALSE,TRUE,TRUE
1675,203,72,72380,190270,37500,NA,W,3750,36,NA,2,1,6,3,1,3,1,5,2,0,3,1,1,2,NA,2,2,3,1,2,2,0,1267,2,1,1,NA,NA,NA,CHICAGO,60638,5502,0.5067248273355144,0.00218102508178844,0,0.4910941475826972,0,14000,Chicago,0,0,1,0,0,0,KINZIE,KENNEDY HS,6.934,84805,FALSE,TRUE,TRUE
1676,205,76,76041,125290,120600,NA,W,4020,123,NA,3,1,5,3,1,3,2,5,2,0,3,2,0,2,2,2,2,7,NA,NA,NA,0,1584,2,1,2,NA,NA,NA,CHICAGO,60653,1836,0.03213507625272331,0.9172113289760347,0.02668845315904139,0.01742919389978213,0.0130718954248366,14000,Chicago,0,0,5,1,0,0,"WELLS, I",PHILLIPS HS,6.89,15997,FALSE,FALSE,TRUE
1677,205,70,70250,63730,22970,NA,W,3535,69,NA,2,1,5,3,1,3,1,5,2,0,3,1,0,2,NA,2,2,3,1,2,2,0,960,2,1,2,NA,NA,NA,CHICAGO,60628,2653,0.00414624952883528,0.9698454579721072,0,0.0018846588767433,0.048247267244628723,14000,Chicago,0,0,1,0,0,0,OWENS,FENGER HS,6.908,32566,FALSE,TRUE,TRUE
1678,203,71,71101,276910,45670,NA,W,3150,94,NA,1,1,5,2,1,1,1,5,2,0,1,1,1,2,NA,2,2,3,1,2,2,0,1122,2,1,5,1,NA,1,CHICAGO,60641,3002,0.6335776149233844,0.00899400399733511,0.10026648900732844,0.21585609593604263,0.08261159227181879,14000,Chicago,0,0,7,1,0,0,BELDING,SCHURZ HS,6.917,82765,FALSE,TRUE,TRUE
1679,295,17,17060,315500,10910,NA,W,992,13,NA,2,1,7,3,2,3,1,5,1,0,3,2,1,2,2,2,2,3,2,1,1,0,1795,2,1,3,NA,NA,NA,EVANSTON,60201,4823,0.11300020733982998,0.5357661206717811,0.02073398299813394,0.27451793489529336,0.102011196350819,24582,Evanston,0,0,5,1,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,48648,FALSE,TRUE,TRUE
1680,204,28,28034,249140,70200,NA,T,10800,33,NA,3,1,7,3,3,3,1,5,1,1,3,1,1,2,NA,2,2,3,2,1,2,0,1812,2,1,1,NA,NA,NA,ORLAND PARK,60462,6497,0.8647067877481914,0.00708019085731876,0.0273972602739726,0.08619362782822841,0.02647375711867015,56640,Orland Park,0,0,1,0,0,0,SCHOOL DISTRICT  135,CONSOLIDATED HIGH SCHOOL  230,9.413,106978,FALSE,TRUE,TRUE
